Designator,Mid X,Mid Y,Layer,Rotation
C1,110.22mm,69.1mm,Top,0.0
C2,110.22mm,66.85mm,Top,0.0
C3,110.22mm,64.6mm,Top,0.0
C4,110.22mm,62.35mm,Top,0.0
C5,110.22mm,60.1mm,Top,0.0
C6,110.22mm,57.85mm,Top,0.0
C7,113.82mm,57.95mm,Top,180.0
C8,113.82mm,60.2mm,Top,180.0
C9,113.82mm,62.45mm,Top,180.0
C10,113.82mm,64.7mm,Top,180.0
C11,113.82mm,66.95mm,Top,180.0
C12,109.43mm,55.75mm,Top,0.0
C13,113.6mm,76.2mm,Top,0.0
D1,92.6mm,24.85mm,Top,270.0
D2,101.0mm,25.05mm,Top,270.0
D3,130.35mm,63.9mm,Top,0.0
D4,130.35mm,72.1mm,Top,0.0
D5,65.2mm,31.4mm,Top,270.0
D6,59.65mm,31.5375mm,Top,270.0
D7,74.9mm,78.45mm,Top,0.0
D8,74.9mm,81.25mm,Top,0.0
F1,35.6mm,60.8mm,Top,90.0
F2,55.0mm,26.2mm,Top,90.0
F3,113.2mm,70.6mm,Top,270.0
J1,91.52mm,92.4mm,Top,90.0
J2,15.98mm,92.6mm,Top,90.0
J3,81.2mm,89.0mm,Top,180.0
Q1,27.0mm,30.45mm,Top,90.0
Q2,123.1mm,32.2mm,Top,90.0
Q3,36.8mm,30.4mm,Top,90.0
Q4,115.7mm,32.2mm,Top,90.0
Q5,46.6mm,30.4mm,Top,90.0
Q6,108.3mm,32.2mm,Top,90.0
Q7,141.915mm,24.845mm,Top,180.0
Q8,141.915mm,36.12mm,Top,180.0
Q9,142.04mm,47.32mm,Top,180.0
Q10,10.26mm,52.4mm,Top,0.0
Q11,10.185mm,41.2mm,Top,0.0
Q12,10.36mm,30.0mm,Top,0.0
Q13,92.0mm,32.0mm,Top,270.0
Q14,100.25mm,32.0mm,Top,270.0
Q15,123.4mm,63.2mm,Top,0.0
Q16,123.4mm,71.45mm,Top,0.0
Q17,65.0mm,27.0625mm,Top,270.0
Q18,59.6mm,27.0mm,Top,270.0
R1,55.6mm,33.225mm,Top,270.0
R2,54.89mm,30.825mm,Top,180.0
R3,82.0mm,80.6mm,Top,90.0
R4,80.4mm,80.6mm,Top,90.0
R5,114.22mm,55.35mm,Top,180.0
R6,29.0mm,35.6mm,Top,0.0
R7,124.9mm,37.4mm,Top,0.0
R8,39.0mm,35.6mm,Top,0.0
R9,117.5mm,37.4mm,Top,0.0
R10,48.8mm,35.6mm,Top,0.0
R11,110.1mm,37.4mm,Top,0.0
R12,134.7mm,28.32mm,Top,90.0
R13,134.7mm,39.72mm,Top,90.0
R14,134.9mm,50.92mm,Top,90.0
R15,139.3mm,30.52mm,Top,0.0
R16,139.5mm,41.72mm,Top,0.0
R17,139.5mm,52.92mm,Top,0.0
R18,17.4mm,48.8mm,Top,270.0
R19,17.4mm,37.6mm,Top,270.0
R20,17.2mm,26.4mm,Top,270.0
R21,12.8mm,46.8mm,Top,180.0
R22,12.8mm,35.6mm,Top,180.0
R23,12.6mm,24.4mm,Top,180.0
R24,90.0mm,26.45mm,Top,180.0
R25,98.4mm,26.65mm,Top,180.0
R26,128.75mm,61.3mm,Top,270.0
R27,128.75mm,69.5mm,Top,270.0
R28,65.0mm,24.4mm,Top,0.0
R29,59.6mm,24.2mm,Top,0.0
R30,71.5mm,78.45mm,Top,180.0
R31,71.5mm,81.05mm,Top,180.0
U1,76.2mm,1.944mm,Top,90.0
U2,111.94mm,47.875mm,Top,270.0
C601,114.44999999999999mm,81.97500000000001mm,Bottom,270.0
C602,113.5mm,81.97500000000001mm,Bottom,270.0
C603,113.5mm,79.775mm,Bottom,90.0
C604,112.55mm,81.97500000000001mm,Bottom,270.0
C605,126.375mm,80.316668mm,Bottom,0.0
C606,112.55mm,79.775mm,Bottom,270.0
C607,130.04999999999998mm,84.2mm,Bottom,0.0
C608,112.77499999999999mm,90.45mm,Bottom,180.0
C617,106.94999999999999mm,87.79962800000001mm,Bottom,270.0
C618,109.37493599999999mm,82.2mm,Bottom,0.0
D604,108.975mm,80.025mm,Bottom,180.0
R602,121.27499999999999mm,85.075mm,Bottom,180.0
R603,120.5mm,87.075mm,Bottom,0.0
R604,114.44999999999999mm,79.775mm,Bottom,90.0
R605,120.475mm,86.075mm,Bottom,180.0
R606,129.075mm,85.35000000000001mm,Bottom,180.0
R607,126.375mm,79.25mm,Bottom,180.0
R608,122.375mm,86.075mm,Bottom,0.0
R609,115.375mm,90.42500000000001mm,Bottom,180.0
R610,124.44999999999999mm,82.825mm,Bottom,180.0
R611,126.375mm,82.825mm,Bottom,180.0
R612,126.375mm,81.558334mm,Bottom,0.0
R613,116.35mm,88.72500000000001mm,Bottom,90.0
R614,112.770709mm,89.5mm,Bottom,0.0
R615,114.82499999999999mm,89.025mm,Bottom,0.0
R616,130.025mm,89.0mm,Bottom,180.0
R618,117.75mm,87.075mm,Bottom,180.0
R619,118.57499999999999mm,86.075mm,Bottom,180.0
R620,118.57499999999999mm,85.075mm,Bottom,0.0
R621,106.94999999999999mm,89.935mm,Bottom,270.0
R622,128.075mm,89.0mm,Bottom,0.0
R623,116.69999999999999mm,85.075mm,Bottom,180.0
R624,112.77499999999999mm,91.4mm,Bottom,0.0
R629,106.96mm,85.78865200000001mm,Bottom,90.0
R630,121.78999999999999mm,88.515mm,Bottom,180.0
U600,119.0mm,81.525mm,Bottom,270.0
U601,109.64999999999999mm,90.45mm,Bottom,0.0
U605,111.14999999999999mm,85.72462800000001mm,Bottom,180.0
C600,121.2375mm,80.15mm,Top,270.0
C609,112.925mm,81.575mm,Top,270.0
C610,107.527mm,88.125mm,Top,0.0
C611,122.35mm,86.22500000000001mm,Top,270.0
C612,122.35mm,88.125mm,Top,90.0
C613,108.425mm,83.60000000000001mm,Top,0.0
C614,122.35mm,84.10000000000001mm,Top,90.0
C615,112.25mm,90.9mm,Top,90.0
C616,110.57499999999999mm,86.0625mm,Top,270.0
D600,130.95mm,81.0mm,Top,90.0
D601,118.175mm,79.67500000000001mm,Top,180.0
D602,115.19999999999999mm,79.67500000000001mm,Top,0.0
D603,110.66754999999999mm,90.50500000000001mm,Top,270.0
Q600,126.50999999999999mm,84.22500000000001mm,Top,90.0
Q601,126.6mm,90.9mm,Top,180.0
R600,122.3mm,82.05000000000001mm,Top,270.0
R601,122.3mm,80.15mm,Top,270.0
R617,121.05mm,90.9mm,Top,90.0
R625,110.39999999999999mm,83.575mm,Top,0.0
R626,120.175mm,80.15mm,Top,270.0
R627,113.05mm,79.7mm,Top,270.0
R628,110.175mm,88.125mm,Top,180.0
U602,116.69999999999999mm,86.375mm,Top,90.0
U603,108.07499999999999mm,90.375mm,Top,270.0
U604,108.125mm,85.9mm,Top,0.0
C601_2,21.4mm,77.9mm,Bottom,180.0
C602_2,21.4mm,78.85mm,Bottom,180.0
C603_2,19.2mm,78.85mm,Bottom,0.0
C604_2,21.4mm,79.8mm,Bottom,180.0
C605_2,19.741668mm,65.975mm,Bottom,270.0
C606_2,19.2mm,79.8mm,Bottom,180.0
C607_2,23.625mm,62.3mm,Bottom,270.0
C608_2,29.875mm,79.575mm,Bottom,90.0
C617_2,27.224628mm,85.4mm,Bottom,180.0
C618_2,21.625mm,82.975064mm,Bottom,270.0
D604_2,19.45mm,83.375mm,Bottom,90.0
R602_2,24.5mm,71.075mm,Bottom,90.0
R603_2,26.5mm,71.85mm,Bottom,270.0
R604_2,19.2mm,77.9mm,Bottom,0.0
R605_2,25.5mm,71.875mm,Bottom,90.0
R606_2,24.775mm,63.275mm,Bottom,90.0
R607_2,18.675mm,65.975mm,Bottom,90.0
R608_2,25.5mm,69.975mm,Bottom,270.0
R609_2,29.85mm,76.975mm,Bottom,90.0
R610_2,22.25mm,67.9mm,Bottom,90.0
R611_2,22.25mm,65.975mm,Bottom,90.0
R612_2,20.983334mm,65.975mm,Bottom,270.0
R613_2,28.15mm,76.0mm,Bottom,0.0
R614_2,28.924999999999997mm,79.579291mm,Bottom,270.0
R615_2,28.45mm,77.525mm,Bottom,270.0
R616_2,28.424999999999997mm,62.325mm,Bottom,90.0
R618_2,26.5mm,74.6mm,Bottom,90.0
R619_2,25.5mm,73.775mm,Bottom,90.0
R620_2,24.5mm,73.775mm,Bottom,270.0
R621_2,29.36mm,85.4mm,Bottom,180.0
R622_2,28.424999999999997mm,64.275mm,Bottom,270.0
R623_2,24.5mm,75.65mm,Bottom,90.0
