Comment,Designator,Footprint,LCSC Part #
"10u","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10","C0805","C15850"
"100n","C11","C0805","C14663"
"10n","C12, C13","C0603","C57112"
"B5819W","D1, D2, D3, D4, D416, D417, D101, D107","SOD-123","C8598"
"PSM712-LF","D5, D6, D411","SOT-23","C32677"
"LED","D7","LED-0603",""
"LED","D8","LED-0603",""
"Fuse","F1","Fuse_1206_3216Metric",""
"Fuse","F2","Fuse_1206_3216Metric",""
"Fuse","F3","Fuse_1206_3216Metric",""
"Conn_01x05","J1","PinHeader_1x05_P2.54mm_Vertical",""
"Conn_01x05","J2","PinHeader_1x05_P2.54mm_Vertical",""
"USB_C_Receptacle_USB2.0","J3","USB_C_Receptacle_Amphenol_12401610E4-2A",""
"ZXMS6005SGTA","Q1, Q2, Q3, Q4, Q5, Q6, Q13, Q14, Q15, Q16","SOT-223","C174042"
"ISL9V3040D3S","Q7","DPAK",""
"ISL9V3040D3S","Q8","DPAK",""
"ISL9V3040D3S","Q9","DPAK",""
"ISL9V3040D3S","Q10","DPAK",""
"ISL9V3040D3S","Q11","DPAK",""
"ISL9V3040D3S","Q12","DPAK",""
"AO3400A","Q17, Q18, Q101, Q103","SOT-23","C20917"
"33k","R1","R0603",""
"6.8k","R2","R0603",""
"5.6k","R3","R0603",""
"5.6k","R4","R0603",""
"4.7k","R5, R6, R7, R8, R9, R10, R11, R24, R25, R26, R27, R28, R29","R0603","C23162"
"22","R12, R13, R14, R18, R19, R20","R0603","C23345"
"0","R15, R16, R17, R21, R22, R23","R2512","C25469"
"R","R30","R0603",""
"R","R31","R0603",""
"~","U1","90_pin_ecu",""
"TLE9201SG","U2","Infineon_PG-DSO-12-11","C112633"
"1u","C600, C607, C609, C610, C611, C600_2, C607_2, C609_2, C610_2, C611_2, C414, C415","C0402","C52923"
"100n","C601, C602, C605, C608, C612, C613, C614, C615, C617, C618, C601_2, C602_2, C605_2, C608_2, C612_2, C613_2, C614_2, C615_2, C617_2, C618_2, C100, C101, C105, C108, C111, C112, C113, C119, C120, C122, C124, C126, C127, C130, C134, C147, C180, C185, C190, C195, C220, C221, C222","C0402","C1525"
"33n","C603, C603_2","C0402","C1585"
"DNP","C604","C0402",""
"DNP","C606","C0402",""
"4.7u","C616, C616_2, C427","C0603","C19666"
"LED-RED-0603","D600, D603, D600_2, D603_2, D103","LED-0603","C2286"
"LED-GREEN-0603","D601, D601_2, D104, D108","LED-0603","C72043"
"LED-BLUE-0603","D602, D602_2, D105, D109, D110, D111, D112, D113, D114, D115, D116","LED-0603","C72041"
"PESD1CAN","D604, D604_2, D100","SOT-23","C343993"
"VND7NV04TR-E","Q600, Q600_2","DPAK","C155605"
"VNP28N04-E","Q601","TO-220-3_Vertical",""
"1k","R600, R601, R616, R617, R622, R626, R627, R628, R600_2, R601_2, R616_2, R617_2, R622_2, R626_2, R627_2, R628_2","R0402","C11702"
"68k","R602, R603, R602_2, R603_2, R422","R0402","C36871"
