Comment,Designator,Footprint,LCSC Part #
"10u","C1","C0805","C15850"
"10u","C2","C0805","C15850"
"10u","C3","C0805","C15850"
"10u","C4","C0805","C15850"
"10u","C5","C0805","C15850"
"10u","C6","C0805","C15850"
"10u","C7","C0805","C15850"
"10u","C8","C0805","C15850"
"10u","C9","C0805","C15850"
"10u","C10","C0805","C15850"
"100n","C11","C0805","C14663"
"10n","C12","C0603","C57112"
"10n","C13","C0603","C57112"
"B5819W","D1","SOD-123","C8598"
"B5819W","D2","SOD-123","C8598"
"B5819W","D3","SOD-123","C8598"
"B5819W","D4","SOD-123","C8598"
"PSM712-LF","D5","SOT-23","C32677"
"PSM712-LF","D6","SOT-23","C32677"
"LED","D7","LED-0603",""
"LED","D8","LED-0603",""
"Fuse","F1","Fuse_1206_3216Metric",""
"Fuse","F2","Fuse_1206_3216Metric",""
"Fuse","F3","Fuse_1206_3216Metric",""
"Conn_01x05","J1","PinHeader_1x05_P2.54mm_Vertical",""
"Conn_01x05","J2","PinHeader_1x05_P2.54mm_Vertical",""
"USB_C_Receptacle_USB2.0","J3","USB_C_Receptacle_Amphenol_12401610E4-2A",""
"Module:wbo/0.5","M1","wbo",""
"Module:wbo/0.5","M2","wbo",""
"Module:knock/0.2","M3","knock",""
"Module:knock/0.2","M4","knock",""
"Module:power_12and5V/0.2","M5","power_12and5V",""
"Module:mega-mcu100/0.3","M6","mega-mcu100",""
"ZXMS6005SGTA","Q1","SOT-223","C174042"
"ZXMS6005SGTA","Q2","SOT-223","C174042"
"ZXMS6005SGTA","Q3","SOT-223","C174042"
"ZXMS6005SGTA","Q4","SOT-223","C174042"
"ZXMS6005SGTA","Q5","SOT-223","C174042"
"ZXMS6005SGTA","Q6","SOT-223","C174042"
"ISL9V3040D3S","Q7","DPAK",""
"ISL9V3040D3S","Q8","DPAK",""
"ISL9V3040D3S","Q9","DPAK",""
"ISL9V3040D3S","Q10","DPAK",""
"ISL9V3040D3S","Q11","DPAK",""
"ISL9V3040D3S","Q12","DPAK",""
"ZXMS6005SGTA","Q13","SOT-223","C174042"
"ZXMS6005SGTA","Q14","SOT-223","C174042"
"ZXMS6005SGTA","Q15","SOT-223","C174042"
"ZXMS6005SGTA","Q16","SOT-223","C174042"
"AO3400A","Q17","SOT-23"," C20917"
"AO3400A","Q18","SOT-23"," C20917"
"33k","R1","R0603",""
"6.8k","R2","R0603",""
"5.6k","R3","R0603",""
"5.6k","R4","R0603",""
"4.7k","R5","R0603","C23162"
"4.7k","R6","R0603","C23162"
"4.7k","R7","R0603","C23162"
"4.7k","R8","R0603","C23162"
"4.7k","R9","R0603","C23162"
"4.7k","R10","R0603","C23162"
"4.7k","R11","R0603","C23162"
"22","R12","R0603","C23345"
"22","R13","R0603","C23345"
"22","R14","R0603","C23345"
"0","R15","R2512","C25469"
"0","R16","R2512","C25469"
"0","R17","R2512","C25469"
"22","R18","R0603","C23345"
"22","R19","R0603","C23345"
"22","R20","R0603","C23345"
"0","R21","R2512","C25469"
"0","R22","R2512","C25469"
"0","R23","R2512","C25469"
"4.7k","R24","R0603","C23162"
"4.7k","R25","R0603","C23162"
"4.7k","R26","R0603","C23162"
"4.7k","R27","R0603","C23162"
"4.7k","R28","R0603","C23162"
"4.7k","R29","R0603","C23162"
"R","R30","R0603",""
"R","R31","R0603",""
"~","U1","90_pin_ecu",""
"TLE9201SG","U2","Infineon_PG-DSO-12-11","C112633"
