Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C0805",113.000000,47.850000,180.000000,top
"C2","10u","C0805",113.000000,50.100000,180.000000,top
"C3","10u","C0805",113.000000,52.350000,180.000000,top
"C4","10u","C0805",113.000000,54.600000,180.000000,top
"C5","10u","C0805",113.000000,56.850000,180.000000,top
"C6","10u","C0805",113.000000,59.100000,180.000000,top
"C7","10u","C0805",113.000000,36.850000,180.000000,top
"C8","10u","C0805",113.000000,39.100000,180.000000,top
"C9","10u","C0805",113.000000,41.350000,180.000000,top
"C10","10u","C0805",113.000000,43.600000,180.000000,top
"C11","100n","C0805",113.000000,45.850000,180.000000,top
"C12","10n","C0603",113.790001,61.200000,180.000000,top
"C13","10n","C0603",113.600000,76.200000,0.000000,top
"D1","B5819W","SOD-123",130.600000,46.800000,0.000000,top
"D2","B5819W","SOD-123",130.400000,55.200000,0.000000,top
"D3","B5819W","SOD-123",130.400000,63.400000,0.000000,top
"D4","B5819W","SOD-123",130.400000,71.600000,0.000000,top
"D5","PSM712-LF","SOT-23",50.800000,31.600000,90.000000,top
"D6","PSM712-LF","SOT-23",45.250000,31.737500,90.000000,top
"D7","LED","LED-0603",74.900001,78.450002,0.000000,top
"D8","LED","LED-0603",74.900001,81.250002,0.000000,top
"F1","Fuse","Fuse_1206_3216Metric",33.400000,72.000000,0.000000,top
"F2","Fuse","Fuse_1206_3216Metric",87.800000,77.800000,180.000000,top
"F3","Fuse","Fuse_1206_3216Metric",87.800000,81.400000,0.000000,top
"J1","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",91.325000,91.000000,90.000000,top
"J2","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",70.160000,91.800000,-90.000000,top
"J3","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Amphenol_12401610E4-2A",81.200000,89.000000,180.000000,top
"M1","Module-wbo-0.5","wbo",105.350000,78.275000,0.000000,top
"M2","Module-wbo-0.5","wbo",54.200000,92.500000,180.000000,top
"M3","Module-knock-0.2","knock",92.400000,78.899998,0.000000,top
"M4","Module-knock-0.2","knock",68.800000,81.700002,180.000000,top
"M5","Module-power_12and5V-0.2","power_12and5V",37.624999,53.724999,0.000000,top
"M6","Module:mega-mcu100/0.3","mega-mcu100",64.299990,35.450010,0.000000,top
"Q1","ZXMS6005SGTA","SOT-223",23.200000,29.250000,-90.000000,top
"Q2","ZXMS6005SGTA","SOT-223",23.200000,41.000000,90.000000,top
"Q3","ZXMS6005SGTA","SOT-223",30.600000,29.200000,-90.000000,top
"Q4","ZXMS6005SGTA","SOT-223",30.600000,41.000000,90.000000,top
"Q5","ZXMS6005SGTA","SOT-223",38.000000,29.200000,-90.000000,top
"Q6","ZXMS6005SGTA","SOT-223",38.000000,41.000000,90.000000,top
"Q7","ISL9V3040D3S","TO-252-2",8.585000,83.675000,180.000000,top
"Q8","ISL9V3040D3S","TO-252-2",8.585000,72.400000,180.000000,top
"Q9","ISL9V3040D3S","TO-252-2",8.460000,61.200000,180.000000,top
"Q10","ISL9V3040D3S","TO-252-2",8.460000,50.000000,180.000000,top
"Q11","ISL9V3040D3S","TO-252-2",8.385000,38.800000,180.000000,top
"Q12","ISL9V3040D3S","TO-252-2",8.560000,27.600000,180.000000,top
"Q13","ZXMS6005SGTA","SOT-223",123.450000,46.200000,180.000000,top
"Q14","ZXMS6005SGTA","SOT-223",123.450000,54.450000,180.000000,top
"Q15","ZXMS6005SGTA","SOT-223",123.450000,62.700000,180.000000,top
"Q16","ZXMS6005SGTA","SOT-223",123.450000,70.950000,180.000000,top
"Q17","AO3400A","SOT-23",50.600000,27.262500,90.000000,top
"Q18","AO3400A","SOT-23",45.200000,27.200000,90.000000,top
"R1","33k","R_0603_1608Metric",83.910000,80.400000,-90.000000,top
"R2","6.8k","R0603",83.200000,78.000000,180.000000,top
"R3","5.6k","R_0603_1608Metric",81.400000,80.400000,-90.000000,top
"R4","5.6k","R_0603_1608Metric",78.890000,80.400000,-90.000000,top
"R5","4.7k","R0603",109.000000,61.600000,0.000000,top
"R6","4.7k","R0603",25.200000,34.400000,0.000000,top
"R7","4.7k","R0603",21.400000,35.800000,180.000000,top
"R8","4.7k","R0603",32.800000,34.400000,0.000000,top
"R9","4.7k","R0603",28.800000,35.800000,180.000000,top
"R10","4.7k","R0603",40.200000,34.400000,0.000000,top
"R11","4.7k","R0603",36.200000,35.800000,180.000000,top
"R12","22","R0603",15.800000,80.200000,-90.000000,top
"R13","22","R0603",15.800000,68.800000,-90.000000,top
"R14","22","R0603",15.600000,57.600000,-90.000000,top
"R15","0","R_2512_6332Metric",11.200000,78.000000,180.000000,top
"R16","0","R_2512_6332Metric",11.000000,66.800000,180.000000,top
"R17","0","R_2512_6332Metric",11.000000,55.600000,180.000000,top
"R18","22","R0603",15.600000,46.400000,-90.000000,top
"R19","22","R0603",15.600000,35.200000,-90.000000,top
"R20","22","R0603",15.400000,24.000000,-90.000000,top
"R21","0","R_2512_6332Metric",11.000000,44.400000,180.000000,top
"R22","0","R_2512_6332Metric",11.000000,33.200000,180.000000,top
"R23","0","R_2512_6332Metric",10.800000,22.000000,180.000000,top
"R24","4.7k","R0603",129.000000,44.200000,-90.000000,top
"R25","4.7k","R0603",128.800000,52.600000,-90.000000,top
"R26","4.7k","R0603",128.800000,60.800000,-90.000000,top
"R27","4.7k","R0603",128.800000,69.000000,-90.000000,top
"R28","4.7k","R0603",50.600000,24.600000,0.000000,top
"R29","4.7k","R0603",45.200000,24.400000,0.000000,top
"R30","R","R0603",71.500001,78.450002,180.000000,top
"R31","R","R0603",71.500001,81.050002,180.000000,top
"U1","~","90_pin_ecu",76.200000,1.944000,90.000000,top
"U2","TLE9201SG","Infineon_PG-DSO-12-11",111.280000,69.075000,90.000000,top
